user,text
U0887F6V4UX,"Before the fire drill last week, we were discussing about how animals above 20kg can stand, with their bones withstanding the stress. After looking at the last slide, scaling in EMA (the seesaw looking figure) I was wondering if this is because bigger animals are more upright? If an animal is more upright, that means less horizontal stress the bone goes through. For example, breaking a long pasta noodle is harder if it is completely upright, but easier if it is in an angle to the surface. This was my guess, there may be much more to it."
U0887F68Q8P,"Does anyone know how to fix errors in R when coding to adjust the angle of amplified pelvic positions? I keep encountering error messages, and I'm not sure how to resolve them. I tried to use as.numeric() but failed."
U088FCLP61L,"I believe my group was getting to this point too before the fire alarm went off. We noticed that the angle the bones and legs form was reduced as the mass of the animal increased to allow force to pass more in line with the bones, as you said. We also were discussing how this upright position might sacrifice increased mobility as seen when comparing animals such as cats to elephants. I think the more vertical position of the bones always for the increased mass but prevents the animal from performing quick or jumping motions. In my mind "
U088N1B170S,"(Discussion) We discussed the different types of levers in class, and I was interested  by the fact that  not every flexer or extensor was the same type of lever, especially the quadriceps and triceps. What do you think is the advantage or reason we have different types of levers in joints that are so anatomically similar?"
U088FCMFG9L,"(Discussion) In class today, we talked about the differences between arthropod joints and vertebrate joints, and how arthropods have their muscles inside of an exoskeleton which serves as a point of insertion. What evolutionary forces led to arthropods having such a contrasting joint-muscle system to vertebrates?"
U088N1DJDS6,"In general, we need levers of differing variations to account for the body's need to balance forces, utilize a range of motion and speed, and be energy efficient for various activities. These joints are all anatomically similar, I believe, because of shared evolutionary origin and the mechanistic principles that govern movement in the body. I mean, evolution tends to favor efficient solutions, and having our joints being fairly anatomically similar means for us as vertebrates, it has been effective overall, and they haven't been deemed as sufficient for our anatomy. Also, by starting with a similar anatomical foundation, the body can adapt joints to different functions without completely redesigning them, saving energy and developmental complexity."
U088N1DJDS6,"(Discussion) We talked about in class how not all levers are created equal and how some are more efficient in terms of force production, speed, and energy expenditure. I was curious about the differences between the design principles of our biological lever systems compared to those of engineered mechanical systems. For instance, I was looking up which lever system was more prevalent in the human body and it said that third-class levers were the most abundant, but second-class levers were mechanically more efficient at producing force. Why do we, as vertebrates, choose to generally prioritize speed over strength within our joint lever system."
U088N1B170S,"I would guess that at some point, arthropods found it to be advantageous to have a protective outer layer, and that was likely the driving factor rather than biomechanics. My other guess is that since they have an open cardiovascular system, it might be advantageous to have everything ‘homogenous’ inside their exoskeletons"
U088QGKHJ20,"(Discussion) The way it makes sense to me is that third class levers allow for greater speed and larger ranges of motion with relatively small muscle contraction. For example a small contraction of the bicep can allow a large movement at the hand. Our musculoskeletal system is highly versatile in which case speed and dexterity are likely more important than overall force production. Additionally, the third class levers of the body are likely more capable of producing rapid and fluid movements, which was probably more advantageous for early humans who were regularly involved in hunting, escaping predators/danger, or climbing."
U088QGKHJ20,"(Discussion) In class, we talked about the jaw as a lever, shifting between a 2nd-class lever (when chewing with molars for more force) and a 3rd-class lever (when biting with incisors for precision). This adaptability allows for both strength and control, making the jaw highly efficient for processing different foods. I feel like a similar dynamic lever system exists in the arm, where the forearm can function as a 2nd-class lever when lifting a heavy object close to the body and as a 3rd-class lever during regular bicep curls. What advantages might these shifting lever systems provide in daily movements?"
U0887F33HTR,"I agree, the lever system of the arm can also be incredibly dynamic. When holding the mass further from the elbow joint, like in the hands during a bicep curl, the weight can be moved precisely, quickly, and over a large range of motion (3rd-class lever with better gear ratio). This is useful in quickly picking up any object, or maybe trying to quickly flip an object over with the hands. On the other hand, when trying to hold a heavy object like a bag or suitcase close to the body/elbow, the forearm is acting more like a 2nd-class lever. There is little control or range of motion here, but it allows us to lift much heavier weights for longer periods of time due to the reduced muscle effort (because you have more mechanical advantage)."
U0887F33HTR,"(Discussion) When thinking about the eccentric part of a muscle movement (like curling a weight and trying to prevent it from coming back down), I am not really sure what is occurring between the myosin filament head and actin. I understand that tension remains more stable in regard to shortening velocity due to elastic potential energy building up, but how are the myosin and actin filaments actually sliding past each other? Is the myosin filament head capable of “walking” backwards in a controlled fashion, or are bonds between actin and myosin just physically breaking, causing the muscle to lengthen? Why can we not just isometrically hold a weight indefinitely?"
U088FCLC7PG,"After today’s class, I could not help but think of several injuries to different areas of the body that could affect the lever systems we talked about. For example, in terms of first-class levers, I thought of whiplash. Given that the head and neck function as a first class lever, how does the fulcrum positioning influence the severity of whiplash-related injuries? I also thought of the Achilles tendon as an example of a second class lever injury. If this tendon is ruptured, how would an individual’s ability to push off the ground be affected? How would the body adjust its levers to compensate?"
U0890MX5R33,"(Discussion)For the AME1, in my original code I was missing  mutate(max=as.numeric(max),rep=as.numeric(rep)) - for the linear plot code. I added it for revisions and it helped the plot but I'm not sure exactly what the code does and why it is necessary for the plot to function correctly?"
U089ARFS08G,"After thinking about different types of lever systems, I realized that the lever system can be used to explain the discrepancy of the maximum pelvic tilt angle versus the actual maximum pelvic tilt angle that is achieved. For example, the hip joint can act as a fulcrum while the quadriceps can act as the lever, making it a 3rd class lever system because the muscle force and the load (moving your leg a step forward) is between the fulcrum and you need a larger input for a small output. In addition, range of motion between the hip joint and quadricep muscle can be influenced by joint health (ex: degenerative joint disease  such as osteoarthritis) and the strength of a person (a average person vs a professional athlete)."
U088N1D569Y,"When learning about levers in class I tried to continue to think of other examples throughout the day and about which are most common. I think 3rd class levers can be seen the most in joints, we talked about the elbow joint and jaw but I believe it could also be seen in the knee joint. 3rd class levers are beneficial because they can generate high speed (at the sacrifice of mechanical advantage). This use of 3rd class levers "
U088QGJBE0L,In regards to the mp1 when using mtrackj’s dark centroid function we found the only way to complete the assignment was going through frame by frame. Has anyone found a better way to do this? (Discussion)
U088QGJBE0L,This was a question I had and I agree with Gregory it was likely evolutionary pressures specific to their lifestyle. I also wonder what class of levers we might find within arthropod joints and if a different class predominates due to these pressures. 
U088FCLP61L,One question that I had was regarding the use of  levers and fulcrums in the and wondered how this might differ in a species and how a slight change might give advantage or disadvantages within a species when used for competition over resources and survival. 
U088FCMFG9L,"I think if you were to rupture your Achilles tendon, it would greatly reduce your ability to push off the ground, primarily due to anatomical considerations. Pushing off the ground is primarily driven by the shortening of the soleus and gastrocnemius muscles, which are able to exert force on the foot via the attachment of the Achilles tendon. Depending on the severity, a rupture would greatly decrease your ability to transmit force from the muscle to the tendon insertion."
U088FCLC7PG,"This is a really good question about Tuesday's lecture, one that I also looked into. I started thinking about different species such as lions and cheetahs, as I feel they are a good example of how small changes in levers and fulcrums can impact fitness. Lions have shorter limb segments that can generate more power, whereas cheetahs have longer limbs that optimize speed. In terms of gender, I also believe that it can impact these biomechanical ideas. Males in many species prioritize strength for competition, while females may prioritize speed or endurance. Small anatomical differences such as these can lead to advantages in survival, and greatly demonstrate how evolution is shaped by biomechanics. Great question!"
U088QGJBE0L,On AME1 I'm having trouble with getting an error message when trying to group_by(Species) it is saying species is not found as an object. Does anyone know how to fix this error (discussion).
U088QGJBE0L,This is something I looked into as well. Third class levers are definitely the most common in the human body. The knee is another example of a third class lever as well. I think you are right about muscular density in mammals compensating for levers that sacrifice mechanical advantage for speed (discussion)
U088N1B170S,"make sure you are using the pipe %>% function properly, otherwise you need to specify ‘iris$Species’"
U06DFEQBJRF,"|First     |Last       |email           | group|
|:---------|:----------|:---------------|-----:|
|Helena    |Ebeling    |"
U06DFEQBJRF,MP2 groups!
U06DFEQBJRF,iris is loaded with R
U088N1D569Y,For ame2 should we include the epilogue code or is that optional?
U088QGKHJ20,"(Discussion) In class today, I was very intrigued by our approach to designing a comparative research project to assess the agility of large dinosaurs. The idea of using extant animals as biomechanical analogs to estimate the mobility/agility of an extinct species was particularly fascinating. We discussed several factors that would be incorporated into the comparative research approach, including bone density, mass, cross-sectional area, and safety factors. Additionally, I think adding perspectives of ecological roles, like how the dinosaurs we viewed in class are likely herbivores, could further contribute to how we address the question of agility. For the species of dinosaurs we viewed today (such as supersaurus vivianae), what would be the best extant animal to use in a comparison? We discussed the possibilities of an elephant or a giraffe. Would you use the elephant, giraffe, both, or an entirely different animal in your comparative research project?"
U088N1DJDS6,"When it comes to useful analogs for comparative research on these large dinosaurs, rhinos, and giraffes are generally the most effective and most commonly discussed. However, I was doing some research, and some other similarly effective substitutes can be utilized. Rhinos are good since they are similar quadrupedal mammals to elephants, plus they have a more compact body plan compared to elephants, which might help model certain aspects of these sauropod movements. Also, other large reptiles would be useful since they are closer phylogenetically to dinosaurs, and their limb structure, gait, and sprawling position could provide insight into the evolutionary transition from sprawling to erect positions in dinosaurs."
U088N1DJDS6,"(Discussion) I was also intrigued by the idea of this comparative research idea for these extant species, especially dinosaurs, but I wanted to potentially focus on the aquatic portion of these ideas. Some researchers theorize sauropods may have spent time in the water to support their massive bodies, and I was curious about the biomechanical significance that has on their distribution of force over area. Like would the buoyancy of water allow enough reduction of weight felt and alleviate stress on their limbs and joints? How would this affect their overall gait, would it allow for increased stride length and a much more energy-efficient walking system? How would their necks and tails be utilized in this fashion, could they use them as stabilizers within the water or even as a motor to aid in faster aquatic traversal?"
U088N1B170S,"(Discussion) Not a question but more of a talking point: This week’s AME and MP have taught us to create complex functions on R that can be solved by entering a few variables and reused infinitely. Having used R in Biostats and now this course, I wish that more classes at BC integrated this system of teaching rather than doing ‘old fashion’ plug and chug math that becomes repetitive busywork. Feel free to agree/disagree"
U0887F68Q8P,"Not many careers depend on R nowadays, but it is commonly taught in college as the language used for interdisciplinary courses. I kinda agree with your point on integrating this system of teaching into more courses, but I also feel like there's a need to do the old-fashioned or repetitive busy work for CS majors as the very basic knowledge."
U0887F68Q8P,"Discussion Question:
Today’s lecture on resilience, toughness, and elasticity in muscles and bones reminded me of an intern’s work on artificial knee replacements. When designing replacement organs or implants, what key material properties should be prioritized, and what materials best replicate the mechanical functions of natural tissues?"
U088FCMFG9L,"Discussion: When discussing in groups today, our group noticed how the large terrestrial dinosaurs like the Supersaurus had very short legs compared to their overall stature. How does this especially short leg length influence the distribution of forces throughout the skeleton of the dinosaur?"
U088FCMFG9L,"Hi Matthew, I think overall the buoyant force exerted by the water on the sauropod's body would directly counteract the gravitational force and help reduce the magnitude of force being exerted on the creature's skeleton. However, as a trade-off, I think the increased viscosity of water compared to air would introduce an additional drag force that may make walking in water less energy efficient than on land."
U0887F6V4UX,"Discussion: Our lecture today had me wondering if the ration of the bones is important in agility or not. For example, I would assume a longer tibia compared to the femur would allow the creature to stride faster. I also wonder if animals with long horizontal skeletal structures gain an advantage from it other than being able to reach tall trees."
U0887F6V4UX,"Discussion Answer: Upon quick research, I learned that plastic is widely used for bone replacements. It says this is because it is not only durable, but also light and easy to make. Other examples are titanium and cobalt chromium. I'm not sure which materials are used for organ replacements though."
U0887F33HTR,"Discussion answer: I mostly looked into joints, and there is the obvious, like materials must be wear-resistant to last long and they must be inert/unreactive in order to prevent any allergic reactions with the recipient. In addition to having a relatively low mass/density, this is why titanium is very often used in joint replacements. Joint replacements often use polyethylene as well, which adds some elasticity shock absorbing capability, mimicking joint cartilage. Replacement joints must also have high tensile and compressive strength, so certain alloys of titanium are produced in order to maximize this while still keeping weight relatively low. Ceramics have all of these properties as well and are being researched, but they are still not used because they are somewhat brittle (they need to become more fracture resistant). The key though from what I have seen is that very well researched alloys and combinations of particularly arranged materials are necessary to mimic the properties of our joints."
U0887F33HTR,Discussion: I was curious if there are any materials in the body that are intentionally optimized to have 
U088QGKHJ20,"(Discussion) I think one example of what you are describing could be cartilage in the joints. Cartilage in the joints does not break easily, but it does return less energy. Cartilage in the joints is optimized to "
U088FCLC7PG,"Discussion: After today's lecture, I kept thinking about the discussion I had in my small group about the comparative model. It got me thinking about the influence of bone shape on locomotion and agility. I specifically thought about the comparison between an animal like an elephant, which has column-like limb bones, and animals with slender and elongated legs. How does the role of cross-sectional shape affect an animal's bone resilience? How might these cross sections affect different modes of movement?"
U0890MX5R33,Discussion: I also think that ligaments are also made to break more easily because if a ligament is too strong it can cause more severe injury under strain. EX - An unbreakable ligament in your foot would cause you to break your leg instead of sprain your ankle
U088FCLP61L,One question I had was regarding the evolutionary decision to take size over agility and vice versa. In class we were looking at the large dinosaurs and in my small group we spoke about how these creatures gave up their ability to move quickly to support their massive weights. I was curious what is the driving source behind these decisions to get big and slow or lighter and more agile. Also I was curious if there exists an extant example that demonstrates the reverse with a large agile creature or a light weight slow creature. How would these vertebrates differ in their environments with these adaptions
U089ARFS08G,"One question I have is if bone strength in large animals and their toughness are a potential trade off in the context of biomechanics. While it may have a lot of benefits, I do think there are some significant trade offs involved."
U088N1D569Y,(Discussion) Building off the discussions of others - especially Metthew’s mention of aquatic species- and the mention of future potentials for robots to model physiology I did some research and found a robot that models frogs and their transition from tadpoles to adults: 
U06DFEQBJRF,"Hi All,"
U06DFEQBJRF,Only a half the class filled out the peer contribution form for MP1. This is a required part of each MP!  Please do so at you earliest! Thanks!
U0887F68Q8P,"Great question! I feel like the evolutionary result is definitely because these animals are under various pressures from different environments. For animals evolve larger and larger they might want to save their energy as larger body sizes have lower metabolite rates. But there are also some large agile creatures like kangaroos, or light weight slow creatures like turtles."
U06DFEQBJRF,Calendar invite for final party:
U088N1D569Y,(Discussion) I found it interesting in class today learning about how 
U088N1B170S,"(Discussion) in class we referenced several examples of how the second moment of area affects how much load/stress a material can resist before breaking, and the example prof. used was a carpenter pencil. I was curious what real life examples we have of this in the body and what evolutionary forces allowed for this? I thought of the clavicle, which needs to provide a lot of support across one axis ad doesnt need to supply as much support across the other axis. This is also why most collarbone breaks and fractures happen with an upwards/downwards force and not a forward/backward force"
U088QGKHJ20,"(Discussion) Our discussion of ecology's role in the probability of a fracture/failure of a bone was very interesting to me, especially around the concept of how humans live relatively ""safe"" lives. Compared to other species, we have built  environments that minimize our exposure to high-force impacts, predators, and extreme physical demands. However, in terms of our built environment that makes our life ""safe"", I started to consider how this has introduced some evolutionary mismatches for us as humans in our modern lifestyles. Through increasingly sedentary lifestyles and poor nutrition in our ""safe"" built environments, we have created new risk factors for bone health shown in conditions such as osteoporosis. Looking forward, how might changes in physical activity patterns or diet over time impact the evolution of human bone structure and strength?"
U088QGKHJ20,"(Discussion) I think another very important example of this in terms of evolutionary background of humans is the femur. The femur has a mostly circular shaft and is supporting a load in the vertical axis. The femur carries most of the body's weight, and in evolutionary terms has been crucial in the support of bipedal locomotion while withstanding compressive forces from running, walking, etc."
U088N1B170S,"I like this prompt because it covers something important that Kenaley actually briefly addresses in his physiology course. preventing a child from moving around, jumping, climbing, etc. results in bone formation that can cause health problems later in life. I believe that this is the reason why many people in our generation are skeptical of how toddlers are given iPads before they can even walk (not to mention the psychological impacts)… only time will tell what the results may be."
U088FCMFG9L,"(Discussion) In class today, I found the differences between Euler buckling and local buckling that we talked about interesting. These two differing models had me thinking about how these concepts could be applied to a biological system, such as a long bone like the humerus or femur. It left me wondering: what would a buckling model look like for a vertebrate long bone? Would it be closer to a Euler buckling or local buckling model? Vertebrate longbone is trabeculated (pored) and also contains a marrow cavity, which I believe puts it somewhere in between the two models (not totally solid but also not totally hollow), but to what extent I am not sure."
U088N1DJDS6,"Reading over both responses reminded me of the people in Wall-E and their distorted lifestyles on the cruise spaceship. They got so lazy and sedentary that they ended up living their lives on lazy boys while staring mindlessly at a holographic screen as if they had no perception of anything happening around them. Considering their stature in the movie you'd expect them to barely support any load at all because of the stress that these bones are used to are basically none on these multifaceted chairs. And to support all that excess weight they put on, if they were to stand after 30 years of doing almost nothing those bones would exceed their max stress almost instantaneously and break their femurs. When it comes to these iPad kids too, there has been a surge in ADHD diagnoses which have links to the overuse of electronics and the everchanging modes of entertainment that rot kids brains."
U088N1DJDS6,"(Discussion) After we spoke about second moment of area in terms of likelihood of fracture, I was wondering if there was any potential ways we can prevent fractures such as hip fractures for example in elderly people by synthetically changing the second moment of area. As we are becoming more and more aware of what issues bones can cause at later stages of life, I was wondering if we could increase the overall surface area of these at risk portions of bone such as the neck of the femur to prevent their potential/eventual failure down the line? I recognize I'm not taking into considering the overall physiology of an individual when making these claims but even a couple centimeters of additional space around the neck adding to the radius of the bone allows the second moment of area to increase that much more to the 4th power, allowing for greater stress before failure. Also I'm not sure what material would be most suitable because usually they put metal rods and plates and "
U0887F33HTR,"(Discussion Reply) I think it depends on the bone and what portion of the bone is being stressed, so I think long bones would have to be modeled by a hybrid of both Euler and local buckling. In regions with more trabecular/spongy bone than compact bone, I think the local buckling model would be more accurate (especially along sections of the bone with the medullary cavity, this is essentially a hollow cylinder). But cortical/compact bone along the shaft would probably be better modeled by Euler buckling. I think your question really demonstrates the broader idea of how these models are made for ideal scenarios, but in real world cases it is much more complicated, so a combination of models is required and the math is very messy."
U0887F33HTR,"(Discussion) I was curious to learn about the different safety factors present in different animals and why this is the case. I get that the lifestyle/actions of an animal will result in a greater safety factor for simple movements like walking (because they require a greater breaking stress to tolerate the greater experienced stresses of more extreme things like jumping/falling), but why do some animals like elephants get so close to a safety factor of 1? I would imagine it is just out of necessity because of their massive size, but are there no ways to raise this safety factor? On the other hand, why do some animals have such high safety factors, especially if they will never get remotely close to an experienced stress that could result in a break? Is this something that is selected for, or as long as the safety factor is above 1 for all forms of locomotion it does not really matter if it is any higher?"
U0887F6V4UX,"Discussion: As we learned about safety factors in lecture today, situational factors was really interesting. Looking at different animals and how they are more prone to breaking a bone in their lifetime due to how they operate and fight for survival was necessary in regards to determining why their SF was much higher than humans. I wonder if back when we were hunter-gatherers we were more prone to breaking a bone? I have never broken a bone in my life and whenever I think of a situation where someone I know had broken a bone is accidental, something that happens outside of their 'normal' lives."
U0887F6V4UX,"Discussion Question: Regarding the ""I"" (second moment of area), I wonder which shape is theoretically the most stable and deals with stress ideally? And does our evolutionary bone structures reflect that? I can think of some examples like the molars being more flat than the canines as they serve different purposes. Molars would be better than canines to deal with more stress as it can break harder food. What are some other examples of how ""I"" is applied in human bodies?"
U0887F68Q8P,"Discussion Question: Under the concept of the second moment of area, for the shape of a rectangular, does the 'w' and 'h' values change when it rotates every 90 degrees, or the length of them is always fixed and unchanged even though the angle changes?"
U0887F68Q8P,"Theoretically, I feel the most stable shape of the second moment of area is the hollow cylinder, as it evenly distributes its weight throughout and does not change its 'I' through rotation. I feel like our bone structure generally follows that pattern of this hollow shape, even it is not perfectly fully hollow, it is partially holly to balance the irregular shape of bones."
U088FCLC7PG,"Discussion: In some of the longer bones =, such as the femur and the tibia, the second moment of area is greater around certain axes. This therefore allows for efficient resistance against bending forces. How can this same principle be applied to differences in bone structure between species with different locomotion styles? For example, how may this concept compare between humans and quadrupedal mammals?"
U089ARDGJFJ,"I think that I am misunderstanding something  but are the o values and Lmuscle values the same? Based on the diagram associated with the Law of Cosines and the theoretical arm diagram, it seems like they are the same measurement, but if that is the case, when the tibble is created based on the model, the theta values come out the same as the flexion angle"
U088FCLP61L,One question that I had after 
U088QGJBE0L,After todays class my question was 
U088QGJBE0L,One would assume based on the slide today on buckling that a thicker (less hollow) tube would be less prone to bending. However 
U0890MX5R33,In Class we talked about how bones usually break at the point of lowest second moment area. Is there an advantage to this - do these areas typically heal faster?
U088FCMFG9L,"I think that to some degree bones have evolved to account for optimal fracture prevention. For example, femurs usually withstand force as we stand, and are longer along this axis of standing and therefore have a higher resistance to deformation. However, bones also have other evolutionary pressures such as needing to be lightweight to enable energy-efficient movement. Additionally, bones have to accomodate muscle insertions, which would make longer bones more optimal than those that might be better for fracture prevention from side-on impacts."
U06DFEQBJRF,"Hi All, MP3 groups"
U06DFEQBJRF,"|First     |Last       |email           | group|
|:---------|:----------|:---------------|-----:|
|Marc      |Gaudin     |"
U088N1B170S,do we have the AME password?
U0887F33HTR,^
U088FCLP61L,I think this all depends on the expected weight and force that a species plans to deal with and where that force is going to be dissipated. Comparing humans to quadrupedals may be difficult because of how our weight is distributed across our legs and other supporting bones. 
U088FCLC7PG,"This is a great question! I believe that bone adaptation would generally follow the principle of maximizing resistance to bending. Bones may have to remodel somewhat to account for different loads, balancing strength with weight. Certain fractures with a high frequency persist because of repetitive loading, which can cause microdamage that may accumulate faster than it is able to repair. Also, aging and osteoporosis reduce bone strength over time, increasing the risk of fracture. Our bones still are not able to handle the stress of modern day  activities, such as high impact sports. While bones are able to adapt to stress, they are unable to eliminate all risks of fracture."
U06DFEQBJRF,Sorry all!! The pw for ame3 is “loblolly”
U06DFEQBJRF,Notice the due date is Feb 25th
U06DFEQBJRF,"Hi All, I’m at home with a dead car battery. I’ll see you thursday"
U088N1B170S,"(Discussion) Now that MP2 is over, how did everyone’s observed results compare to their calculated? Everyone in my group lifted more than predicted, but I am curious if this is a common trend amongst groups or common error amongst our group.
"
U088FCLP61L,In our group the predicted was about the same as the actual. One person was found to be able to lift roughly 20 lbs (
U0887F33HTR,"(Discussion Response) I also noticed this trend. My observed values followed the same pattern as the predicted, but my partner and I lifted ~7.5 pounds more than we predicted for each value. I think this may be due to the fact that our model was only accounting for the biceps muscle, but not the other muscles that assist in elbow flexion like the brachialis and brachioradialis. There may have also been some smaller factors like underestimating muscle mass with the playdoh, but I think the lack of incorporation of other synergistic muscles was the main issue with the model."
